season,week,air_date,air_date_source
20,5,2015-04-13,wikipedia_week_date_table
20,6,2015-05-11,wikipedia_week_date_table
20,7,2015-03-16,wikipedia_week_date_table
20,8,2015-03-30,wikipedia_week_date_table
20,10,2015-04-20,wikipedia_week_date_table
20,11,2015-05-04,wikipedia_week_date_table
20,12,2015-04-06,wikipedia_week_date_table
20,13,2015-04-27,wikipedia_week_date_table
20,15,2015-03-23,wikipedia_week_date_table
20,20,2015-04-28,wikipedia_week_date_table
20,24,2015-05-12,wikipedia_week_date_table
