feature_type,feature_value,judge_effect,fan_effect,survival_effect,n
Pro Dancer,Alan Bersten,1.5880489611236968,0.1760248761717327,0.2926893639482717,9
Pro Dancer,Alan Bersten (Rashad Jennings week 9),3.741516480764549,0.4625773192509447,4.403800475059382,1
Pro Dancer,Alec Mazo,-3.4408975798415113,-0.010121182640699111,-2.7961995249406177,5
Pro Dancer,Allison Holker,5.230354170158492,-0.13602576193720384,0.40380047505938244,4
Pro Dancer,Andrea Hale,-11.167556246508177,-0.007340610041984691,-5.596199524940618,1
Pro Dancer,Anna Demidova,-4.8104419607938915,-0.07070191791598471,0.40380047505938244,1
Pro Dancer,Anna Trebunskaya,-3.1106154131748447,-0.01528429699492645,-1.6871086158497084,11
Pro Dancer,Artem Chigvintsev,2.6386155909136626,0.034559918967231734,0.15380047505938244,12
Pro Dancer,Ashly DelGrosso,-7.517556246508178,0.09748304628055751,-2.8461995249406176,4
Pro Dancer,Brandon Armstrong,0.3200429598410288,0.1541410430678509,-0.9711995249406176,8
Pro Dancer,Brian Fortuna,-4.167556246508177,-0.1952992937154541,-3.5961995249406176,1
Pro Dancer,Britt Stewart,-3.779593283545214,0.19339453444315982,-1.5961995249406176,6
Pro Dancer,Charlotte Jorgensen,-0.0008895798415089473,0.08154827884690422,-0.5961995249406176,1
Pro Dancer,Chelsie Hightower,-2.4282812465081776,-0.08025513334403167,-0.4533423820834743,7
Pro Dancer,Cheryl Burke,0.12981927066353904,-0.037814956297520796,1.0438004750593821,25
Pro Dancer,Corky Ballas,-5.867556246508176,-0.19493044866153508,-1.0961995249406176,2
Pro Dancer,Damian Whitewood,-0.7390133893653221,-0.1973406100419847,0.40380047505938244,1
Pro Dancer,Daniella Karagach,3.4617944028424716,0.3603935986505573,2.203800475059383,5
Pro Dancer,Daniella Karagach (Rumer Willis week 9),4.817280117128185,0.3031572254558509,4.403800475059382,1
Pro Dancer,Derek Hough,4.537658100321465,-0.04144428524576521,3.0508592985887937,17
Pro Dancer,Dmitry Chaplin,-1.8731229131748464,-0.16215535078272544,-0.2628661916072845,3
Pro Dancer,Edyta Sliwinska,-4.7706317154836455,-0.04368905205341539,-1.323472252213345,11
Pro Dancer,Elena Grinenko,-10.367556246508176,-0.19228475558318042,-3.5961995249406176,2
Pro Dancer,Emma Slater,-0.4126381891488684,0.0372300147473372,-0.40869952494061756,16
Pro Dancer,Emma Slater/Kaitlyn Bristowe (week 9),-1.500889579841509,0.3263843951115918,2.4038004750593824,1
Pro Dancer,Ezra Sosa,-6.667556246508177,-0.13041753311890777,-4.596199524940618,1
Pro Dancer,Ezra Sosa (Apolo Anton Ohno week 9),5.393043753491824,0.5082212586448841,4.403800475059382,1
Pro Dancer,Fabian Sanchez,-1.8342229131748446,-0.19734041004198472,-0.5961995249406176,1
Pro Dancer,Gleb Savchenko,0.5331430541911253,0.10008347349185451,-0.8269687557098484,13
Pro Dancer,Henry Byalikov,-6.167556246508177,-0.1973406100419847,-5.596199524940618,1
Pro Dancer,Inna Brayer,-5.667556246508177,-0.1973406100419847,-5.596199524940618,1
Pro Dancer,Jan Ravnik,0.26101518206325025,0.15085563815426353,0.40380047505938244,1
Pro Dancer,Jenna Johnson,-0.2123394114913424,0.11026930468511584,-0.37397730271839524,9
Pro Dancer,Jesse DeSoto,-4.167556246508177,-0.1973406100419847,-4.596199524940618,1
Pro Dancer,Jonathan Roberts,-3.5009038655557987,-0.03464290781836454,-2.5961995249406176,7
Pro Dancer,Julianne Hough,-0.606727579841511,-0.12515342652686123,1.6038004750593817,5
Pro Dancer,Karina Smirnoff,-1.6026707765306227,-0.0855041594178699,-0.09619952494061756,18
Pro Dancer,Keo Motsepe,-2.4785130366316324,-0.14759738164119518,-2.7073106360517287,9
Pro Dancer,Koko Iwasaki,-4.698806246508177,0.1282344052205305,-2.0961995249406176,2
Pro Dancer,Kym Herjavec,-0.6675562465081768,-0.1942914962208465,-2.5961995249406176,1
Pro Dancer,Kym Johnson,-1.368201042426545,-0.10226002345151837,0.04665761791652567,14
Pro Dancer,Lacey Schwimmer,-3.53185061158754,-0.11390569555197168,0.23713380839271547,6
Pro Dancer,Lindsay Arnold,1.4419245168395847,-0.009129656568400618,1.3038004750593828,10
Pro Dancer,Louis van Amstel,-1.86116085689779,-0.0005989068883723303,-0.6871086158497084,11
Pro Dancer,Maksim Chmerkoskiy,0.9406485083937817,-0.06819536470655488,0.5214475338829114,17
Pro Dancer,Mark Ballas,2.9443324458576576,-0.0025111851937080487,1.3085623798212875,21
Pro Dancer,Nick Kosovich,-2.042556246508177,0.18946494551357088,-3.5961995249406176,2
Pro Dancer,Pasha Pashkov,-1.8358498612267908,0.13710908268151747,-1.310485239226332,7
Pro Dancer,Peta Murgatroyd,-0.09645650841293829,-0.07108404543489283,0.13713380839271583,15
Pro Dancer,Rylee Arnold,-0.29718587613780656,0.28822534663508304,1.4038004750593824,3
Pro Dancer,Sasha Farber,3.828586706834777,0.11323612197225655,1.4038004750593824,12
Pro Dancer,Sharna Burgess,1.7825429392267225,-0.04536073849013231,0.18951476077366802,14
Pro Dancer,Tony Dovolani,-1.7148863576536435,-0.07314255993480126,-0.9771519058929989,21
Pro Dancer,Tristan MacManus,-4.8425562465081775,-0.11216811947302341,-2.3961995249406174,5
Pro Dancer,Tyne Stecklein,-8.50088957984151,-0.1954604107938644,-3.5961995249406176,1
Pro Dancer,Val Chmerkovskiy,0.6324437534918239,0.1049894210380464,-1.5961995249406176,1
Pro Dancer,Val Chmerkovskiy (Joey Graziadei week 9),5.96880738985546,0.5452297362783617,4.403800475059382,1
Pro Dancer,Valentin Chmerkovskiy,4.516098467549696,0.009717824556298438,1.719589948743593,19
Pro Dancer,Witney Carson,3.918893630836699,0.08922268652047169,1.0466576179165257,14
Pro Dancer,Witney Carson (Xoshitl Gomez week 9),6.029407389855461,0.24619925287287822,4.403800475059382,1
Age,Young,27.106545198723694,0.23204965036785802,8.008620689655173,116
Age,Middle,24.049438184303355,0.21083025992647747,6.7555555555555555,180
Age,Senior,21.610264508427132,0.1808321822438556,5.056,125
Industry,Actor/Actress,24.534576082476548,0.20100881792333164,6.890625,128
Industry,Athlete,24.554720666894507,0.18933118608849162,6.484210526315789,95
Industry,Model,21.87700036414566,0.09311072725459414,4.294117647058823,17
Industry,Singer/Rapper,24.340166707886823,0.21102017539984189,6.622950819672131,61
Industry,TV Personality,23.642370047166764,0.24167294899567704,6.955223880597015,67
Industry,News Anchor,24.69444,0.272188612251052,5.666666666666667,3
Industry,Racing Driver,27.09525356060606,0.16055110326931507,8.0,4
Industry,Radio Personality,21.09722222222222,0.01298159743783531,4.25,4
Industry,Comedian,21.000359235209235,0.20662117320763898,5.5,12
Industry,Entrepreneur,19.578125,0.19261389259938794,4.5,4
Industry,Politician,19.407396296296298,0.16479183134522668,5.0,3
Industry,Social Media Personality,31.962824675324676,0.4816857613009905,8.75,8
Country,True,24.149650623099884,0.21636990387762003,6.580821917808219,365
Country,False,24.28426254193723,0.15235271100396217,6.696428571428571,56
