season,rank_vs_percent_reversal,n_reversal_weeks,total_weeks,rule_era
1,0.3333333333333333,1,3,Early Rank (S1-2)
2,0.14285714285714285,1,7,Early Rank (S1-2)
3,0.42857142857142855,3,5,Percent Era (S3-27)
4,0.375,3,5,Percent Era (S3-27)
5,0.2222222222222222,2,8,Percent Era (S3-27)
6,0.625,5,5,Percent Era (S3-27)
7,0.0,0,8,Percent Era (S3-27)
8,0.1111111111111111,1,8,Percent Era (S3-27)
9,0.4444444444444444,4,8,Percent Era (S3-27)
10,0.25,2,6,Percent Era (S3-27)
11,0.6666666666666666,6,6,Percent Era (S3-27)
12,0.25,2,6,Percent Era (S3-27)
13,0.2222222222222222,2,8,Percent Era (S3-27)
14,0.25,2,7,Percent Era (S3-27)
15,0.5714285714285714,4,7,Percent Era (S3-27)
16,0.5,4,5,Percent Era (S3-27)
17,0.4444444444444444,4,7,Percent Era (S3-27)
18,0.2857142857142857,2,6,Percent Era (S3-27)
19,0.5,5,7,Percent Era (S3-27)
20,0.5,4,7,Percent Era (S3-27)
21,0.2857142857142857,2,6,Percent Era (S3-27)
22,0.8571428571428571,6,6,Percent Era (S3-27)
23,0.3333333333333333,3,7,Percent Era (S3-27)
24,0.5,4,5,Percent Era (S3-27)
25,0.375,3,6,Percent Era (S3-27)
26,0.0,0,3,Percent Era (S3-27)
27,0.7142857142857143,5,7,Percent Era (S3-27)
28,0.5714285714285714,4,7,Modern Rank + Save (S28+)
29,0.3333333333333333,3,9,Modern Rank + Save (S28+)
30,0.25,2,8,Modern Rank + Save (S28+)
31,0.4444444444444444,4,9,Modern Rank + Save (S28+)
32,0.6666666666666666,6,9,Modern Rank + Save (S28+)
33,0.6666666666666666,4,6,Modern Rank + Save (S28+)
34,0.75,6,8,Modern Rank + Save (S28+)
