season,voting_method,inconsistency_score,is_feasible,constraint
1,rank,0.0,True,>=0.5%
2,rank,0.0,True,>=0.5%
3,percent,0.0,True,>=0.5%
4,percent,0.0,True,>=0.5%
5,percent,0.0,True,>=0.5%
6,percent,0.0,True,>=0.5%
7,percent,0.0,True,>=0.5%
8,percent,0.0,True,>=0.5%
9,percent,0.0,True,>=0.5%
10,percent,0.0,True,>=0.5%
11,percent,0.0,True,>=0.5%
12,percent,0.0,True,>=0.5%
13,percent,0.0,True,>=0.5%
14,percent,0.0,True,>=0.5%
15,percent,0.0,True,>=0.5%
16,percent,0.0,True,>=0.5%
17,percent,0.0,True,>=0.5%
18,percent,0.0,True,>=0.5%
19,percent,0.0,True,>=0.5%
20,percent,0.0,True,>=0.5%
21,percent,0.0,True,>=0.5%
22,percent,0.0,True,>=0.5%
23,percent,0.0,True,>=0.5%
24,percent,0.0,True,>=0.5%
25,percent,0.0,True,>=0.5%
26,percent,0.0,True,>=0.5%
27,percent,0.0,True,>=0.5%
28,rank,0.0,True,>=0.5%
29,rank,0.0,True,>=0.5%
30,rank,1.0,True,>=0.5%
31,rank,0.0,True,>=0.5%
32,rank,2.0,True,>=0.5%
33,rank,2.0,True,>=0.5%
34,rank,0.0,True,>=0.5%
