season,week,would_reverse
1,1,False
1,2,False
1,3,False
1,4,False
1,5,False
1,6,False
2,1,True
2,2,True
2,3,False
2,4,False
2,5,False
2,6,False
2,7,False
2,8,False
3,1,True
3,2,False
3,3,False
3,4,False
3,5,False
3,6,False
3,7,False
3,8,False
3,9,False
3,10,False
4,1,False
4,2,True
4,3,False
4,4,False
4,5,False
4,6,False
4,7,False
4,8,False
4,9,False
4,10,False
5,1,True
5,2,False
5,3,False
5,4,False
5,5,True
5,6,False
5,7,False
5,8,False
5,9,False
5,10,False
6,1,False
6,2,True
6,3,False
6,4,True
6,5,True
6,6,False
6,7,False
6,8,False
6,9,False
6,10,False
7,1,False
7,2,False
7,3,False
7,4,False
7,5,False
7,6,True
7,7,False
7,8,False
7,9,False
7,10,False
8,1,False
8,2,False
8,3,True
8,4,False
8,5,True
8,6,False
8,7,False
8,8,False
8,9,False
8,10,False
8,11,False
9,1,True
9,2,True
9,3,False
9,4,False
9,5,False
9,6,True
9,7,False
9,8,False
9,9,False
9,10,False
10,1,False
10,2,True
10,3,True
10,4,False
10,5,False
10,6,False
10,7,False
10,8,False
10,9,False
10,10,False
11,1,False
11,2,False
11,3,True
11,4,True
11,5,False
11,6,False
11,7,False
11,8,False
11,9,False
11,10,False
12,1,False
12,2,False
12,3,True
12,4,True
12,5,False
12,6,False
12,7,False
12,8,False
12,9,False
12,10,False
13,1,True
13,2,True
13,3,False
13,4,True
13,5,False
13,6,False
13,7,False
13,8,False
13,9,False
13,10,False
14,1,False
14,2,False
14,3,True
14,4,True
14,5,False
14,6,True
14,7,False
14,8,False
14,9,False
14,10,False
15,1,True
15,2,True
15,3,False
15,4,False
15,5,False
15,6,True
15,7,False
15,8,False
15,9,False
15,10,False
16,1,False
16,2,False
16,3,True
16,4,False
16,5,False
16,6,False
16,7,False
16,8,False
16,9,False
16,10,False
17,1,False
17,2,True
17,3,False
17,4,True
17,5,True
17,6,False
17,7,False
17,8,False
17,9,False
17,10,False
17,11,False
18,1,False
18,2,True
18,3,False
18,4,False
18,5,True
18,6,True
18,7,False
18,8,False
18,9,False
18,10,False
19,1,False
19,2,False
19,3,False
19,4,False
19,5,False
19,6,False
19,7,True
19,8,False
19,9,False
19,10,False
19,11,False
20,1,False
20,2,True
20,3,False
20,4,True
20,5,False
20,6,False
20,7,False
20,8,False
20,9,False
20,10,False
21,1,False
21,2,False
21,3,False
21,4,False
21,5,False
21,6,True
21,7,True
21,8,False
21,9,False
21,10,False
21,11,False
22,1,False
22,2,True
22,3,False
22,4,True
22,5,False
22,6,False
22,7,False
22,8,False
22,9,False
22,10,False
23,1,False
23,2,False
23,3,True
23,4,True
23,5,False
23,6,True
23,7,False
23,8,False
23,9,False
23,10,False
23,11,False
24,1,False
24,2,True
24,3,True
24,4,True
24,5,True
24,6,True
24,7,False
24,8,False
24,9,False
24,10,False
25,1,False
25,2,False
25,3,False
25,4,True
25,5,True
25,6,False
25,7,False
25,8,False
25,9,False
25,10,False
26,1,True
26,2,False
26,3,False
26,4,False
27,1,True
27,2,False
27,3,True
27,4,True
27,5,False
27,6,False
27,7,False
27,8,False
27,9,False
28,1,False
28,2,True
28,3,False
28,4,True
28,5,False
28,6,False
28,7,False
28,8,False
28,9,False
28,10,False
28,11,False
29,1,False
29,2,True
29,3,False
29,4,True
29,5,True
29,6,False
29,7,False
29,8,False
29,9,False
29,10,False
29,11,False
30,1,False
30,2,True
30,3,True
30,4,True
30,5,True
30,6,False
30,7,False
30,8,False
30,9,False
30,10,False
31,1,False
31,2,True
31,3,True
31,4,True
31,5,False
31,6,False
31,7,False
31,8,False
31,9,False
31,10,False
32,1,False
32,2,True
32,3,True
32,4,False
32,5,False
32,6,False
32,7,False
32,8,False
32,9,False
32,10,False
32,11,False
33,1,False
33,2,True
33,3,False
33,4,False
33,5,False
33,6,False
33,7,False
33,8,False
33,9,False
34,1,False
34,2,True
34,3,True
34,4,False
34,5,False
34,6,False
34,7,False
34,8,False
34,9,False
34,10,False
34,11,False
