feature,importance
fan_mean,2.9251678
judge_share,2.4234307
judge_rank,1.3797138
judge_total,0.38193628
celebrity_age_during_season,0.25067258
win_rate,0.19725992
pro_tier,0.16895457
celebrity_industry_TV Personality,0.05532164
celebrity_industry_Athlete,0.040229335
celebrity_industry_Singer/Rapper,0.01001512
celebrity_industry_Model,0.00576488
celebrity_industry_Social Media Personality,0.0051029515
celebrity_industry_Con artist,0.0
celebrity_industry_Astronaut,0.0
celebrity_industry_Beauty Pagent,0.0
celebrity_industry_Comedian,0.0
pageviews,0.0
celebrity_industry_Fitness Instructor,0.0
celebrity_industry_Fashion Designer,0.0
celebrity_industry_Entrepreneur,0.0
celebrity_industry_Conservationist,0.0
celebrity_industry_Motivational Speaker,0.0
celebrity_industry_Journalist,0.0
celebrity_industry_Magician,0.0
celebrity_industry_Military,0.0
celebrity_industry_Politician,0.0
celebrity_industry_News Anchor,0.0
celebrity_industry_Musician,0.0
celebrity_industry_Producer,0.0
celebrity_industry_Radio Personality,0.0
celebrity_industry_Racing Driver,0.0
celebrity_industry_Social media personality,0.0
celebrity_industry_Sports Broadcaster,0.0
