alpha,judge_alignment,fan_influence,wrongful_rate
0.3,0.4090909090909091,0.9696969696969697,0.030303030303030276
0.35,0.4090909090909091,0.9696969696969697,0.030303030303030276
0.4,0.4090909090909091,0.9659090909090909,0.03409090909090906
0.45,0.4166666666666667,0.9583333333333334,0.04166666666666663
0.5,0.4166666666666667,0.9583333333333334,0.04166666666666663
0.55,0.42045454545454547,0.9545454545454546,0.045454545454545414
0.6,0.42045454545454547,0.9545454545454546,0.045454545454545414
0.65,0.42045454545454547,0.9545454545454546,0.045454545454545414
0.7,0.42424242424242425,0.9507575757575758,0.0492424242424242
0.75,0.4356060606060606,0.9393939393939394,0.06060606060606055
0.8,0.4696969696969697,0.9015151515151515,0.09848484848484851
