season,democratic_deficit
1,0.22049956933677864
2,0.33781414377556984
3,0.28766390152528765
4,0.08430296377607026
5,0.1992496873697374
6,0.1492773261065944
7,0.18272357723577234
8,0.1761252446183953
9,0.2097312144398666
10,0.06419973250111458
11,0.20776892430278884
12,0.11251694532309083
13,0.1886625332152347
14,0.32615105466092087
15,0.3520968195890796
16,0.10112134561473768
17,0.2204035874439462
18,0.27191956979191023
19,0.1673419773095624
20,0.4322863027806385
21,0.22437226445519465
22,0.3127308544693425
23,0.13354363827549948
24,0.3381666257065618
25,0.19769628584861307
26,0.21273100616016427
27,0.25580665411173886
28,0.38921775898520083
29,0.3985786200769914
30,0.3875169147496617
31,0.3830741207790388
32,0.385266529398307
33,0.40932531155994845
34,0.3473930872876391
