season,auc,brier,logloss,n_test
3,0.951530612244898,0.0521637424826622,0.16981773184653337,63
4,0.9981884057971016,0.01131181325763464,0.051430325640340696,77
5,0.9935587761674718,0.025707827880978584,0.08392923897811687,78
6,0.9984126984126984,0.013071535155177116,0.044240231369151034,79
7,0.9535655058043118,0.057608623057603836,0.23519434400702358,76
8,0.9827160493827161,0.01678188517689705,0.06939606480850248,91
9,0.9552083333333334,0.049993015825748444,0.18121090514886085,92
10,1.0,0.00042567364289425313,0.008941889258417008,77
11,1.0,0.010378250852227211,0.0359134326948311,78
12,1.0,0.008925418369472027,0.025770868588418292,77
13,0.9951690821256038,0.012541851960122585,0.058308778800036265,78
14,1.0,0.010580234229564667,0.03047757548243047,85
15,0.9973684210526316,0.019300995394587517,0.06033020880455017,86
16,1.0,0.0007185519207268953,0.005601005632326777,85
17,1.0,0.0006167956744320691,0.005684903099258962,92
18,1.0,0.002164273988455534,0.009298822378903409,82
19,1.0,0.0004650247283279896,0.007354266253208739,94
20,0.9941520467836257,0.025944072753190994,0.09550644863663002,85
21,1.0,0.00477229617536068,0.01955033753634451,82
22,1.0,0.003667000448331237,0.014864754359135847,88
23,1.0,0.0007637149537913501,0.008026319166829205,97
24,1.0,0.0016033026622608304,0.010637191071723864,84
25,1.0,0.0029980563558638096,0.01024313752769869,93
26,1.0,0.04760187864303589,0.144894611400972,48
27,1.0,0.00298447348177433,0.014973109331255842,90
28,0.9466437177280551,0.03125022351741791,0.16306684559741816,90
29,0.907142857142857,0.048703838139772415,0.2355500795312602,108
30,0.87847866419295,0.0516367107629776,0.26928991657037904,109
31,0.8832535885167463,0.038466669619083405,0.19208940751593118,106
32,0.9987789987789988,0.01051533967256546,0.043519328742245046,100
33,0.9367088607594937,0.03292522206902504,0.158780042864929,87
34,0.9988545246277205,0.009835737757384777,0.03677913525921012,106
